Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,ARMENTIERES,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,Entre JAUNAY et DISSAY,oui,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,ZONE DE CHANTIER DE DISSAY ENTRE JAUNAY ET DISSAY,non,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-12,PARIS GARE DE LYON,non,Accident de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,ENTRE GRAMAT et FIGEAC,non,Défaillance d'ouvrage,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13,NARBONNE,non,Accident de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-18,Infrapôle Languedoc-Roussilon,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,SAINT GERMAIN DES FOSSES,non,Non conformité du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-09,MULHOUSE,oui,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-11,SAUJON,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,DELLE,non,Défaillance d'ouvrage,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,MONTJOVIS,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-25,PAU-NOUVELLE AQUITAINE,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,PARIS EST,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26,MARSEILLE BLANCARDDE,oui,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,PARIS EST,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-24,LYON,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28,TECHNICENTRE PARIS SUD EST,oui,Mouvement en sens inverse du sens normal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-09,CONFLANS,non,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,AMIENS,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-10,VENDENHEIM,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-19,SAINT-CLAUDE,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-03,SIBELIN,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-27,PARIS SAINT LAZARE,oui,Non conformité du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-04,PICON BUSSERINE,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-20,NOGENT LE ROTROU,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-17,Saint Florentin,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,SAINT JEAN-DE-MAURIENNE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-26,SENS,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,TECHNICENTRE EST-EUROPEEN,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-21,VALENTON,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-21,PUY IMBERT,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16,GEVREY,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-20,Infrapôle de PN,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-29,LIMOGES,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,VERSAILLES,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-09,ARMENTIERES,non,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-13,PARIS-EST,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-08,TROIS-PUITS,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-16,SAALES,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-22,SERMAISE,non,Quasi accident de travail,,,,,,,,,,,,,,,,,,,,,,,,,,
