Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09,TECHNICENTRE EST EUROPEEN,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-02,entre PONT L'EVEQUE et TROUVILLE DEAUVILLE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,INFRALOG CENTRE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-22,ENTRE ANIZY PINON ET LAON,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-10,LYON,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-17,LILLE - BIF DES SOURDS ET MUETS,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-22,CHERBOURG,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07,MOMMENHEIM,non,Avarie matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-17,Grande Opération Programmée de MULHOUSE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-15,NEUF-BRISACH,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-22,PARIS NORD,oui,Dérangement des installations de sécurité,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-09,ASPRES SUR BUECH,non,Acte de malveillance,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-27,MIRAMAS,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-07,VAIRES sur MARNES,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,AMAGNE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-24,LYON PART DIEU,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12,CHAMPAGNEY,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,TECHNICENTRE ATLANTIQUE,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,AMIENS,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-11,Entre STRASBOURG et KEHL,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-18,INFRAPOLE LGV SUD-EST EUROPEEN,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20,TECHNICENTRE ROMILLY,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23,SUGE - DZS SUD-OUEST,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,MEYRARGUES,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,ENTRE BLANQUEFORT et MACAU,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,SAINT DENIS,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,PERSAN,oui,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,BOUSSENS,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-09,SABLE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,Entre ROSPORDEN et QUIMPER,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,SAUMUR,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,RIVE DE GIER,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-07,FAUGA,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-26,DARSAC,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-17,MACON,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-05,MONTEREAU,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-25,PAYS DE LA LOIRE,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,LEZIGNAN,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,NOVILLARS,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20,MIRABEAU,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-19,LAPEYROUSE,non,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-27,AMBERIEU,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,LYON SCARONNE,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,GOLFECH,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,MULHOUSE,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,AMBOISE,oui,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,STRASBOURG,oui,Non conformité du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,entre LONS LE SAUNIER et ORBAGNA,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-10,PERE,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-13,MASSY,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,SAINT BERON,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,LE ROVE,oui,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,HAGONFANGE,oui,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,LUZENAC,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,VERSIGNY,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,BRIVE,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,LE MOLAY LITTRY,oui,Défaillance d'ouvrage,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-19,CHATELLERAULT,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-17,VILLENEUVE PRAIRIE,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-12,Entre CHEMILLE et LA JUMELLIERE,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-21,REIMS,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-18,EMERAINVILLE-PONTAULT-COMBAULT,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,GRETZ-ARMAINVILLIERS,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,LGV Atlantique PRS 45,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,Conflans-Jarny,non,Manoeuvre vers non électrifiée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-21,Luçon,non,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,Duttlenhein,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-14,Viescamp sous Jalles,oui,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,Lyon Brotteaux,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,Entre Kerhuon et Le Rody,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,Entre les Aubrais et Blois,non,Engagement de gabarit,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,Sainte Marthe-En-Provence,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-29,Cannes,ND,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,La Roche Migennes,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-06,Romilly,non,Erreur d’itinéraire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-16,Aulnay Sous Bois,oui,Erreur d’itinéraire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-16,Reignac,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,Metz,oui,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-28,Entre Choisy le Roi et les Ardoines,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-08,Gare de Paris-Batignolles,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,Paris Gare du Nord,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07,Fos-Graveleau,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-07,Mont de Marsan,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-26,Les Mureaux,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,Mende,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-13,Bantzenheim,non,Incident de marchandise dangereuse,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,La Roche des Arnauds,oui,Rupture d'attelage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,Saint-Florentin,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-16,Montpellier,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-11,Cros de Cagnes,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-03,Paris Bercy,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-16,Villeneuve Saint Georges,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-25,Montchanin,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-21,Baraqueville,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-11,Villeneuve les Maguelone,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-10,Entre Saint Ouen PL et Porte de Clichy,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-18,Entre La Milesse et Sille le Guillau,non,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-21,Mulhouse,non,Circulation d’un Transport Exceptionnel sans annonce,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-17,Lacq,oui,Présence d'obstacle sur voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-24,Paris Saint Lazare,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,Lourches,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-24,Port-la-Nouvelle,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-16,Gare de Trappes Poste 3,non,Présence d'obstacle sur voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-20,Hendaye,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,La Guerche sur l'Aubois,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-23,Sotteville,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02,Chambourg,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-25,Lisieux,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-24,Lille Flandres,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-10,Achères,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-22,Le Soler,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-08,Entre Guingamp et Paimpol,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-17,Caen,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-07,Nice,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-29,Gare d'Yvetot,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-29,Buisson,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-24,Decize,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-07,Saint Pol/Ternoise,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-28,Entre Villeneuve et Roi,oui,Appareil de voie mal disposé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,Woippy,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-04,Aubazine Saint Hilaire,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-16,Somain,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,Technicentre Thionville,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-30,Voves,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,Saint Jory,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,Genève la Plaine,non,Composition non conforme,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-06,Entre Saint-Cyr et Versailles-Chantier,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-13,Chambéry,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,Auterive,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,Pasilly,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,LGVA entre Saint Cyr PRS 44 et Loire PRS 45,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,Miramas,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-29,Plateau de Vouille,non,Non respect du point d’arrêt,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20,La Plaine Stade de France,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-10,Arras,oui,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,Entre Houdan et Marchezais,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-19,Nîmes,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,Fresnoy le Grand,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-07,Saint-Michel Notre Dame et Paris Austerlitz,non,Réalimentation intempestive des caténaires,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-26,Gare basse de Strasbourg,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-24,Modane,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-23,Laval,oui,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-17,Gare de Juvisy,non,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-13,Brive,oui,Rupture d'attelage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,Peyraud,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,Lyon Guillotiere,oui,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-28,Clermont de L'oise,non,Chute de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-08,Valence,non,Incident de frein,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-11,Lieusaint,non,Réalimentation intempestive des caténaires,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-02,Puget-sur-Argens,oui,Désordre ouvrage d’art,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,Gare de Saint-Martin de Tallevende,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,Paris Saint-Lazare,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,Tours,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,Paris Gare de Lyon,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-26,Quimper,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,Aix-les-Bains,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,Monsempron,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,Entre Bayonne et Puyôo,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-16,Trappes,non,Talonnage d’aiguille ou bivoie,, lors du deuxième mouvement, le bi voie puis le déraillement.,,,,,,,,,,,,,,,,,,,,,,,
2016-06-12,Gevrey Triage,ND,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-06,Technicentre Villeneuve Saint Georges,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-23,Guerigny,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,La Bastide St Laurent les Bains,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,Entre Le Grand Jardin et Pont l’Evêque,non,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,Fleurieux sur L’Arbresle,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,Montrouge Chatillon,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,Entre Esbly et Meaux,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,Maison Alfort,non,Réalimentation intempestive des caténaires,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,Igny,non,Accident de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,Noisy Le Sec,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,Entre La Ferté Million et Lizy sur Ourcq,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,Chambéry,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-03,Marle sur Serre,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,Clisson,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,Murat,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,Pagnac,non,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,Chatelay Chissey,non,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-23,Les Ardoines,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,Castelnaudary,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,Sélestat,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-19,Poissy,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,Albigny,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-11,St Cyr les Lesques,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,Chasse sur Rhône,oui,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,Allenc,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,Vaires sur Marne,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,Entre Sète et Le Castellas,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,Miramas,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,Dijon Technicentre,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,Javel,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,Trappes,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15,Toulouse,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-22,Marseille St Charles,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-16,Gare de Paris Austerlitz,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17,Gare de Paris Montparnasse,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05,Trappes,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-20,Sarrebourg,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,Entre La Forest et Kerhuon,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,Entre Auterive et Saverdun,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-11,Marseille Blancarde,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,Etampes,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-03,Entre Aubagne et Cassis,oui,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-08,St Martin Sail les Bains,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,Woippy,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,Lyon Vaise,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,Batignolles,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,Mantes La Jolie,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-04,Aix sur Vienne,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,Chalon sur Saône,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-03,La Ferté Million,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-05,Lille Europe,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,Le Tréport Mers,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24,Meyrargues,oui,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,Hourcade,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-18,St Germain au Mont d’Or,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,Sotteville,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,Achères,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,Montigny les Metz,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,Achères,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,St Jory,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,Le Landy,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,Entre Montpellier et Lyon,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-30,,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-25,Baillargues,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-27,Entre Montmédy et Longuyon,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,Chambéry,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-25,Entre Meyrargues et Aix en Provence,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,Béziers,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,Epinal,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-24,Armentières,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,Saint Nazaire,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,Hourcade,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,Entre Vézénobres et Mas des Cabries,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,Brive la Gaillarde,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,Thionville dépôt,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20,CORBIE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,TRONSANGES,oui,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18,GEVREY,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07,BEAUNE,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,NEUFCHÂTEAU,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,COSNE,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
